year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Social support Category
2014,5.6783952713012695,10.407099723815918,0.9083475470542908,69.83999633789062,0.8877477049827576,0.0467338003218174,0.9091182947158812,0.5935014486312866,0.2908124029636383,0
2006,6.075547218322754,11.23256492614746,0.9189504384994508,68.4000015258789,0.769072413444519,-0.2422704398632049,0.3281581103801727,0.7884594202041626,0.1822753548622131,0
2017,6.149199962615967,9.253032684326172,0.7920872569084167,65.64055293258487,0.8576767444610596,0.1122422739863395,0.9251918196678162,0.6169121861457825,0.1858790963888168,0
2020,4.269473552703857,7.660975456237793,0.5679152607917786,55.0,0.645313560962677,-0.0688275322318077,0.8946373462677002,0.6476502418518066,0.4396281242370605,3
2010,5.490347385406494,9.892935752868652,0.7949054837226868,66.9000015258789,0.5149203538894653,-0.1920642703771591,0.8108957409858704,0.532230019569397,0.3270659744739532,0
2020,5.884544372558594,9.733028411865234,0.8667026162147522,68.375,0.8404632806777954,0.2699176073074341,0.918340027332306,0.7702966928482056,0.3261685669422149,0
2017,5.321928024291992,8.540910720825195,0.7334685325622559,53.75,0.8259055614471436,0.1199567168951034,0.8348919749259949,0.6822111010551453,0.2359687685966491,0
2017,4.154341697692871,8.369377136230469,0.7951838374137878,60.25,0.8860118389129639,0.6514433026313782,0.6188215017318726,0.6167572140693665,0.2822855412960052,0
2008,4.930058002471924,9.353609085083008,0.766224205493927,66.33999633789062,0.7135763454868378,-0.1336466521024704,0.709403395652771,0.6557004451751709,0.3312011659145355,0
2021,4.962747573852539,8.21621322631836,0.6949363946914673,55.84999847412109,0.7153017520904541,-0.0291745569556951,0.8487171530723572,0.6120285987854004,0.3465137183666229,1
2011,4.3691935539245605,8.150376319885254,0.6329732537269592,55.08000183105469,0.7464394569396973,-0.0818455070257186,0.5189301371574402,0.5427360534667969,0.1805926263332367,1
2018,7.242630958557129,11.645395278930664,0.9021924138069152,71.57499694824219,0.8839298486709595,-0.028108088299632,0.3851461112499237,0.7146942615509033,0.2018943428993225,0
2009,6.283498287200928,10.634509086608888,0.9181585311889648,71.0999984741211,0.7982131838798523,-0.0875505059957504,0.6541681885719299,0.6910476684570312,0.3033666014671325,0
2019,7.035472393035889,10.8944091796875,0.8856673240661621,70.9000015258789,0.884751558303833,0.0509414970874786,0.4622551500797272,0.7124611139297485,0.2261712104082107,0
2017,4.330945491790772,9.513737678527832,0.8227705955505371,66.80000305175781,0.8270773887634277,0.0828732401132583,0.8442100286483765,0.7286812663078308,0.2697275280952453,0
2012,7.415144443511963,10.739143371582031,0.948128342628479,70.91999816894531,0.9179611206054688,0.2843524515628814,0.4656018316745758,0.7755687832832336,0.2293320894241333,0
2018,7.176993370056152,10.800652503967283,0.940137267112732,70.82499694824219,0.9160281419754028,0.1411612778902053,0.4046474993228912,0.7059827446937561,0.1874563694000244,0
2021,3.909149169921875,9.127314567565918,0.7029181718826294,67.5999984741211,0.7731134295463562,-0.1480653285980224,0.655549168586731,0.4795041084289551,0.429252564907074,0
2018,5.840231418609619,10.644612312316896,0.7977238297462463,72.82499694824219,0.6001616716384888,-0.0950105562806129,0.7968258857727051,0.5787802338600159,0.2171457260847091,0
2022,3.984860181808472,9.409202575683594,0.825453519821167,67.30000305175781,0.7400571703910828,0.0375008508563041,0.8998544812202454,0.7154048085212708,0.3213180303573608,0
2018,4.655702590942383,8.403982162475586,0.7067198753356934,57.29999923706055,0.821412980556488,0.281633585691452,0.8442440629005432,0.746773898601532,0.2369207739830017,0
2010,6.837331295013428,9.604052543640137,0.9055281281471252,63.900001525878906,0.8059492707252502,-0.0594420991837978,0.6560360789299011,0.7259312868118286,0.2498812228441238,0
2009,4.4549174308776855,8.456879615783691,0.9114069938659668,57.459999084472656,0.7099786400794983,0.0464087985455989,0.7012293934822083,0.6878289580345154,0.244927167892456,0
2023,6.792490482330322,10.877864837646484,0.8948324918746948,71.69999694824219,0.8447375297546387,0.106207937002182,0.4601833522319793,0.7063045501708984,0.2312359660863876,0
2012,5.057261943817139,8.389938354492188,0.6851118803024292,55.18000030517578,0.6794184446334839,0.0351446941494941,0.8978361487388611,0.7090039253234863,0.1523763835430145,1
2021,4.377950668334961,8.600658416748047,0.6327296495437622,58.75,0.7302647233009338,0.1051248982548713,0.8877704739570618,0.5875943303108215,0.295109748840332,1
2016,5.238698482513428,9.678292274475098,0.8947534561157227,63.400001525878906,0.8727124333381653,-0.0849553421139717,0.7371829748153687,0.7252313494682312,0.2780951261520386,0
2019,5.9028167724609375,10.663325309753418,0.7831608653068542,73.0999984741211,0.706032395362854,-0.0614668242633342,0.7176961302757263,0.5931780338287354,0.2359665185213089,0
2020,4.994379043579102,9.322538375854492,0.748887836933136,69.67500305175781,0.8059736490249634,-0.0940834581851959,0.9116014838218688,0.73646479845047,0.4814836084842682,0
2018,6.249419212341309,10.545228958129885,0.9409711956977844,70.5250015258789,0.9420458674430848,-0.1248338222503662,0.8392525315284729,0.6011959910392761,0.2754848599433899,0
2018,5.340295791625977,9.341143608093262,0.8093788623809814,62.67499923706055,0.8793743848800659,0.5062282085418701,0.8677294254302979,0.7960307002067566,0.2959868013858795,0
2016,7.45851993560791,11.125900268554688,0.9276282787322998,71.9000015258789,0.9339470863342284,0.0808722302317619,0.3015629649162292,0.7583172917366028,0.2063167244195938,0
2015,6.605550289154053,10.293885231018066,0.8826150298118591,68.30000305175781,0.8466691970825195,-0.0155982561409473,0.809942901134491,0.7773051261901855,0.2638258635997772,0
2017,4.646891117095947,7.589920043945312,0.784761369228363,54.150001525878906,0.6137747168540955,-0.0656269788742065,0.7274513244628906,0.5798469185829163,0.3538210690021515,0
2015,5.8805975914001465,10.18973159790039,0.8793724179267883,65.80000305175781,0.6563931703567505,-0.08362727612257,0.8084003925323486,0.5592708587646484,0.2281371802091598,0
2015,3.964542865753174,9.32510757446289,0.909439742565155,63.79999923706055,0.4305920302867889,-0.0388658978044986,0.9524727463722228,0.5310363173484802,0.2410758584737777,0
2017,4.475654125213623,8.369367599487305,0.7146043181419373,56.900001525878906,0.8533943891525269,0.2245628833770752,0.8540003895759583,0.7538604140281677,0.2302103042602539,0
2005,7.079644203186035,10.679086685180664,0.8678194880485535,61.20000076293945,0.8537701154215034,0.051650347491937254,0.5051490664482117,0.6806911826133728,0.242553025484085,0
2010,4.1410722732543945,7.903593063354492,0.6971638202667236,59.0,0.9401311874389648,0.3449602425098419,0.8957144618034363,0.661971390247345,0.4219663441181183,1
